Title,Creators,Genre,Rating,Views,Likes,Engagement,Subscribers,Release Date,Synopsis
In the Bleak Midwinter;,"Ali, Kat",sci-fi,9.76,34165043.0,3848591,0.11264704101206605,691735,2020.0,"With a dead sister and 25 years to go on her soulmate timer, Anya decides to cryogenically sleep away her problems. Too bad she wakes up to an apocalypse full of them. Now stuck in a burnt out landscape full of killers, Anya must decide which she wants to keep: her heart or her head."
Inarime,"Maria Riccio, Tommaso Bennato",superhero,8.85,2905805.0,126255,0.04344923351704605,105345,2016.0,"Ancient Gods and new battles; the unborn Typhon's seventh daughter and her incredible adventures trying to understand who she is and why the Gods of Olympus are so hostile toward human beings. Warn you to believe at who says that they're just ""myths"", they are more real than what you think, and they are among us."
Infinite Leveling: Murim,"Gonbung, Jinwoo Kim",action,9.57,44334042.0,4124134,0.09302409196075558,376316,2021.0,"Killed on the battlefield without glory to his name, Yuseong Dan receives an opportunity to grow stronger with a strange quest and level system. But each quest he's forced to fight only seems to be getting harder and harder. Can he level up enough to avoid the same miserable ending and become the powerful hero he wishes to be?"
Infinity,two5,sports,9.59,6810366.0,717457,0.10534778894408905,115231,2022.0,"Sometimes, we only discover our true gifts when we hit rock bottom. Take Damin Lee -- he’s a terrible soccer player, due to his almost supernatural talent at dodging any object thrown at him. But in another sport? It’s a whole other story. When Damin leaves the soccer team in disgrace after failing to save the game-deciding goal, he’s discovered by Taegyun, captain of the épée team in the school fencing club. Impressed by Damin’s agility and evasiveness, Taegyun offers Damin a chance at redemption in fencing. Will Damin find his true passion and make some friends along the way?"
Island,"Inwan Youn, Kyungil Yang",action,8.98,1165919.0,105621,0.09059034118150575,68335,2022.0,"“I’ll offer you 50 million won for every demon you hunt down.” Jeju Island is swarming with demons out for human blood. When Won Miho, heiress of Daehan Group, finds herself at the mercy of one of these evil demons, she strikes a deal with serial killer, Van, to ensure her survival."
It Was All You,"Dalbong, I SOON KI, Jake Lee, OH5HO",sci-fi,9.47,10942348.0,1317435,0.12039783417599222,314211,2021.0,"In a near-future Pyeongyang, clones have become an indispensable part of human life. Tasked to test XYZ Corporation's latest prototype, biomedical engineer Dr. Yuri Lee is marveled by LPC-6, a physically perfect and intellectually superior clone designed for a single purpose -- to give unconditional love to his master. As she uncovers the depths of her unfaithful husband's depravity, she finds solace in ""Victor"" and his extraordinary capacity for empathy. Will her desire for retribution and love set her onto a path of no return?"
It's Mine,LuckS,thriller,9.73,102729440.0,10747385,0.1046183547773647,1302519,2020.0,"There's nothing that Yohan Do doesn't know about his crush, Dajeong. Where she sits in class, works after school... and even where she lives. But unable to approach her, he watches her every move from afar and will do anything to protect her. Anything."
It's On,Sokomin,slice of life,9.76,3816023.0,607690,0.1592469437422154,120777,2022.0,"The year is 2008. The On siblings have moved from Korea to America, and there's a lot more to get used to than just being the new kids in school. Join So-won and Woo as they try to find their footing in Los Angeles."
Jackie Rose,Josh Ulrich,supernatural,9.6,4023055.0,238112,0.05918686172572833,60747,2016.0,"Action, adventure, air pirates; Set in an alternate 1940s, Jackie Rose is a rip-roaring adventure story filled with excitement and fun, that still manages to tug at the heart strings."
Jackson's Diary,Paola Batalla,supernatural,9.68,109175251.0,10743232,0.09840354752195624,1106084,2021.0,"The year is 1989, and Jackson is starting his senior year at a brand new school. Even though he's back in his hometown with his new family, he can't seem to shake this ominous and uneasy feeling invading his mind. It's not until he meets the popular kid, Exer, that reality starts to feel more like the work of his imagination."
Jingle Jungle,Yongjin Kim,slice of life,8.81,997674.0,58718,0.058854896489233956,15104,2014.0,Come and meet these adorable friends in Jungle! Jingle Jungle village has many animals who are ready to make you smile as you read the episodes.
Jungle Juice,"HYEONG EUN, Hyeong Eun, JUDER",action,9.79,115750825.0,10249347,0.08854664318807232,1455308,2021.0,"Suchan Jang is an extraordinary college student at the top of the social food chain. But underneath the perfect facade, he hides a pair of insect wings that suddenly grew when he used a mysterious bug spray called ""Jungle Juice."" Suchan's life crumbles when he bares his wings to the world to save someone's life. When all hope seems lost, Suchan stumbles upon a hidden world of insect humans where everyone is accepted for what they are. But the law of the jungle governs this secret society and all must fend for themselves in order to survive."
Just Ask Yuli,Yulius Efferven,slice of life,7.65,590831.0,31192,0.05279343839439704,15302,2015.0,Darius returns home one day and learns the greatest secret in the universe. A Meta-fictional Series about banter between God and the Creator. Have you ever wanted to ask the big questions about life? Then Just Ask Yuli.
