Title,Genre,Creators,Views,Likes,Subscribers,Rating,Release Date,Schedule,Synopsis
Academy of Marginalized Superpowers,comedy,jeffuwnag,3244429.0,405873,65064,9.23,,"Tuesday, Saturday","In a world of people gifted with supernatural abilities, a boy with a power deemed ‘marginal’ by society navigates life surrounded by his marginally extraordinary peers."
Acception,drama,Colourbee,183534834.0,16499642,900975,8.97,2019.0,"Tuesday, Friday","With his rainbow-colored hair and love of all things fashion, Arcus is anything BUT your average teenager. He's an upbeat independent thinker, proud fashionista, and like the rest of us, is just looking for a few friends to call his own. 
 Acception may be Arcus' story , but it's all OUR stories too - and it is for anyone who's ever struggled to fit in, find love, or thought that High School was pretty much the worst thing ever invented."
Act Like You Love Me!,romance,XUANN,128935287.0,11779284,1503125,9.75,2021.0,Thursday,"25-year-old Ji-eon is stressed, overworked, and penniless. When a mix-up at a temp job has her spending a day as famous actor Doyun Nam's personal assistant, she takes her anger out on a doll... which turns out to have the magical ability to control him at her every whim. Now it's her turn to be the boss."
Acursian,supernatural,"Carole Barrowman and Erika Lewis, John Barrowman",574297.0,36596,57468,7.22,2018.0,Monday,"Starring John Barrowman, Acursian is a time-traveling magical journey set between 1745 and present day that follows Charlie Stewart, a dislikeable lawyer whose bloodline is cursed by the Gods after Charlie's ancestor, Prince Charles Edward Stewart, makes a deal with Bregon, the god of war. The exchange quickly backfires with Bregon stealing three talismans from his sisters, the goddesses of fate and time, and a battle soon ensues. Until the talismans are returned, the three sisters can no longer control fate and time, and Charles Edward Stewart and his descendants are cursed to lose everything on their 40th birthdays."
Adamsville,mystery,Michael Regina,,184981,60400,9.32,,,"""Adamsville"" is an all ages series about two middle school friends who must work together to solve a series of supernatural mysteries in their hometown. What they discover is a vast conspiracy that threatens to destroy everything they know about their lives, town and their future. Now they're the only one's who can stop the coming catastrophe."
Adopted by a Murderous Duke Family,romance,"Da-Woo, Rogang, URang",27383689.0,2305915,653328,9.5,,Tuesday,"After ten years of being exploited by Duke Gerwehr for her healing powers, Agnes meets her death in a dungeon. When she wakes up, she finds herself in her uncle’s house before she was sold to Duke Gerwehr in the slave market. Desperate for her past life not to repeat itself, she lets Duke Rodwick adopt her and starts her new life with a new name, Tuariche Rodwick. Will she be able to keep her healing powers secret in this notorious family of assassins and find true happiness and love in her new life?"
Adopting a Zombie,drama,_gwagj,1263221.0,83377,95523,8.94,,Friday,When a failed scientist falls in love with the zombie he's studying for a cure. 
Adventures of God,comedy,"Corey, Teo",509074618.0,35247807,1597043,9.42,2016.0,"Tuesday, Saturday","In this slice of (eternal) life, you'll meet God, visit Heaven and learn that what goes on behind the pearly gates isn't exactly the way the good book describes it. For starters, it's a pretty unhealthy work environment - what with God's ginormous, fragile ego and heavy drinking problem. The good news is that while heaven is a lot less holy than expected, it's much more hilarious too."
Aerial Magic,fantasy,walkingnorth,18221275.0,1848678,577835,9.68,2018.0,Monday,The daily life of an apprentice witch.
After Dark,horror,ABerg,5554148.0,711783,188779,9.63,,Tuesday,"Following a recent accident that resulted in the death of his girlfriend, Drew is riddled with guilt and now finds himself suffering from an unexplainable and worsening illness. As he comes to terms with his newfound curse, he must also overcome his past mistakes. Set in British Columbia, After Dark is a tale of love, loss and werewolves."
After School Lessons for Unripe Apples,drama,Soonkki,68923335.0,7757550,711897,9.93,,Sunday,"Mi-ae is just a normal middle school girl trying to survive school. She likes reading comics, the pop group “The Fire Boys”, and karaoke. One day, a boy she used to know transfers to her school and begins to stir up trouble. No matter what she does, it seems he just doesn’t appreciate her efforts to get to know him. What’s up with that?"
After School Lessonsfor Unripe Apples,drama,"JANE, Soonkki, WasakBasak",5500000.0,910455,168931,9.86,2021.0,Sunday,"Mi-ae is just a normal middle school girl trying to survive school. She likes reading comics, the pop group ""The Fire Boys"", and karaoke. One day, a boy she used to know transfers to her school and begins to stir up trouble. No matter what she does, it seems he just doesn't appreciate her efforts to get to know him. What's up with that?"
After School Recipe,romance,HYE RU,2084789.0,244689,58805,9.7,,Sunday,"Friendly foodie Sogeum is excited to start a new chapter of her life at the famous Ruru Culinary High School. However, she unexpectedly reunites with her first love Eunjae, who broke her heart with hurtful words three years ago. Not only will they live under the same roof and attend the same school, but they will also be part of the same club. Sogeum will now have to battle against her rekindling feelings for Eunjae while dealing with a bumpy school life."
Agatha,drama,Dain Lee,4952532.0,725715,162313,9.07,2021.0,Friday,"Despite her title, Princess Agatha was a sweet and unassuming girl who lived with relatives away from the royal palace. When her father’s sudden death put her on the throne, she was happy to become the Queen Consort instead, letting her husband Halon rule as the King of Zerlasha. Little did she know that Halon would scheme behind her back, allying with the powerful Kingdom of Cavenia, an erstwhile enemy. With her country Zerlasha falling prey to corruption and crime, the time arrives for Agatha to step up as a true queen and leader. Will Queen Agatha take a stand against King Halon to save her country and protect her people?"
